[02-Jun-2022 12:30:00 UTC] PHP Warning:  require(/var/www/app/vendor/autoload.php): failed to open stream: No such file or directory in /var/www/app/bin/console on line 16
[02-Jun-2022 12:30:00 UTC] PHP Stack trace:
[02-Jun-2022 12:30:00 UTC] PHP   1. {main}() /var/www/app/bin/console:0
[02-Jun-2022 12:30:00 UTC] PHP Fatal error:  require(): Failed opening required '/var/www/app/vendor/autoload.php' (include_path='.:/usr/local/lib/php') in /var/www/app/bin/console on line 16
[02-Jun-2022 12:30:00 UTC] PHP Stack trace:
[02-Jun-2022 12:30:00 UTC] PHP   1. {main}() /var/www/app/bin/console:0
[02-Jun-2022 15:50:00 UTC] PHP Fatal error:  Composer detected issues in your platform: Your Composer dependencies require a PHP version ">= 8.1.0". You are running 7.4.29. in /var/www/app/vendor/composer/platform_check.php on line 24
[02-Jun-2022 15:50:00 UTC] PHP Stack trace:
[02-Jun-2022 15:50:00 UTC] PHP   1. {main}() /var/www/app/bin/console:0
[02-Jun-2022 15:50:00 UTC] PHP   2. require_once() /var/www/app/bin/console:11
[02-Jun-2022 15:50:00 UTC] PHP   3. require_once() /var/www/app/vendor/autoload_runtime.php:5
[02-Jun-2022 15:50:00 UTC] PHP   4. ComposerAutoloaderInit5051b02005bdf049732c33f76c900a3b::getLoader() /var/www/app/vendor/autoload.php:7
[02-Jun-2022 15:50:00 UTC] PHP   5. require() /var/www/app/vendor/composer/autoload_real.php:25
[02-Jun-2022 15:50:00 UTC] PHP   6. trigger_error() /var/www/app/vendor/composer/platform_check.php:24
[02-Jun-2022 16:20:00 UTC] PHP Parse error:  syntax error, unexpected 'static' (T_STATIC) in /var/www/app/vendor/symfony/dotenv/Dotenv.php on line 52
[02-Jun-2022 16:30:00 UTC] PHP Parse error:  syntax error, unexpected 'static' (T_STATIC) in /var/www/app/vendor/symfony/dotenv/Dotenv.php on line 52
[02-Jun-2022 16:40:00 UTC] PHP Parse error:  syntax error, unexpected 'static' (T_STATIC) in /var/www/app/vendor/symfony/dotenv/Dotenv.php on line 52
[02-Jun-2022 17:50:00 UTC] PHP Parse error:  syntax error, unexpected 'static' (T_STATIC) in /var/www/app/vendor/symfony/dotenv/Dotenv.php on line 52
[02-Jun-2022 18:20:00 UTC] PHP Parse error:  syntax error, unexpected 'static' (T_STATIC) in /var/www/app/vendor/symfony/dotenv/Dotenv.php on line 52
[02-Jun-2022 21:30:00 UTC] PHP Parse error:  syntax error, unexpected 'static' (T_STATIC) in /var/www/app/vendor/symfony/dotenv/Dotenv.php on line 52
[02-Jun-2022 21:50:35 UTC] PHP Warning:  Failed loading Zend extension '' (tried: /usr/local/lib/php/extensions/no-debug-non-zts-20200930/ (Error loading shared library /usr/local/lib/php/extensions/no-debug-non-zts-20200930/: Is a directory), /usr/local/lib/php/extensions/no-debug-non-zts-20200930/.so (Error loading shared library /usr/local/lib/php/extensions/no-debug-non-zts-20200930/.so: No such file or directory)) in Unknown on line 0
[02-Jun-2022 22:02:46 UTC] PHP Warning:  Failed loading Zend extension '' (tried: /usr/local/lib/php/extensions/no-debug-non-zts-20200930/ (Error loading shared library /usr/local/lib/php/extensions/no-debug-non-zts-20200930/: Is a directory), /usr/local/lib/php/extensions/no-debug-non-zts-20200930/.so (Error loading shared library /usr/local/lib/php/extensions/no-debug-non-zts-20200930/.so: No such file or directory)) in Unknown on line 0
[02-Jun-2022 22:03:59 UTC] PHP Warning:  Failed loading Zend extension '' (tried: /usr/local/lib/php/extensions/no-debug-non-zts-20200930/ (Error loading shared library /usr/local/lib/php/extensions/no-debug-non-zts-20200930/: Is a directory), /usr/local/lib/php/extensions/no-debug-non-zts-20200930/.so (Error loading shared library /usr/local/lib/php/extensions/no-debug-non-zts-20200930/.so: No such file or directory)) in Unknown on line 0
[02-Jun-2022 22:05:52 UTC] PHP Warning:  Failed loading Zend extension '' (tried: /usr/local/lib/php/extensions/no-debug-non-zts-20200930/ (Error loading shared library /usr/local/lib/php/extensions/no-debug-non-zts-20200930/: Is a directory), /usr/local/lib/php/extensions/no-debug-non-zts-20200930/.so (Error loading shared library /usr/local/lib/php/extensions/no-debug-non-zts-20200930/.so: No such file or directory)) in Unknown on line 0
[02-Jun-2022 22:10:58 UTC] PHP Warning:  Failed loading Zend extension '' (tried: /usr/local/lib/php/extensions/no-debug-non-zts-20200930/ (Error loading shared library /usr/local/lib/php/extensions/no-debug-non-zts-20200930/: Is a directory), /usr/local/lib/php/extensions/no-debug-non-zts-20200930/.so (Error loading shared library /usr/local/lib/php/extensions/no-debug-non-zts-20200930/.so: No such file or directory)) in Unknown on line 0
[02-Jun-2022 22:29:01 UTC] PHP Warning:  Failed loading Zend extension '' (tried: /usr/local/lib/php/extensions/no-debug-non-zts-20200930/ (Error loading shared library /usr/local/lib/php/extensions/no-debug-non-zts-20200930/: Is a directory), /usr/local/lib/php/extensions/no-debug-non-zts-20200930/.so (Error loading shared library /usr/local/lib/php/extensions/no-debug-non-zts-20200930/.so: No such file or directory)) in Unknown on line 0
[02-Jun-2022 22:30:15 UTC] PHP Warning:  Failed loading Zend extension '' (tried: /usr/local/lib/php/extensions/no-debug-non-zts-20200930/ (Error loading shared library /usr/local/lib/php/extensions/no-debug-non-zts-20200930/: Is a directory), /usr/local/lib/php/extensions/no-debug-non-zts-20200930/.so (Error loading shared library /usr/local/lib/php/extensions/no-debug-non-zts-20200930/.so: No such file or directory)) in Unknown on line 0
